//////////////////////////
/// PUNCH EFFECT DATA ///
////////////////////////

// If you will take effects from our Discord server, Make Like This: 8421376 + Punch Effect //
// ID|PUNCH EFFECT ID //
// Example: 2876|8421427 //


2876|8421427
138|8421377
366|8421378
472|8421379
594|8421380
768|8421381
900|8421382
910|8421383
930|8421384
1016|8421385
1204|8421386
1378|8421387
1512|8421390
1484|8421389
1542|8421391
1576|8421392
1676|8421393
1710|8421394
1748|8421395
1780|8421396
1782|8421397
1804|8421398
1868|8421399
1874|8421400
1946|8421401
1948|8421402
3100|8421403
2908|8421405
6312|8421405
1980|8421406
2066|8421407
2212|8421408
2218|8421409
2220|8421410
2266|8421411
2386|8421412
2388|8421413
2450|8421414
2476|8421415
4748|8421416
2512|8421417
2572|8421418
2592|8421419
2720|8421420
2752|8421421
2754|8421422
2756|8421423
2802|8421425
2866|8421426
2878|8421428
2880|8421428
2906|8421429
2886|8421430
2890|8421431
3066|8421433
3124|8421434
3168|8421435
3214|8421436
7408|8421437
3274|8421438
3300|8421440
3418|8421441
3476|8421442
3686|8421444
3716|8421445
4290|8421447
4474|8421448
4464|8421449
4746|8421451
4778|8421452
6026|8421452
4996|8421453
4840|8421454
5206|8421455
5480|8421456
6110|8421457
6308|8421458
6310|8421459
6298|8421460
6756|8421461
7044|8421462
7088|8421465
7098|8421466
7192|8421467
7136|8421468
3166|8421469
7216|8421470
7196|8421471
7392|8421472
7384|8421474
7414|8421475
7424|8421477
7488|8421479
7586|8421480
7650|8421481
6804|8421482
7568|8421483
7570|8421483
7572|8421483
7574|8421483
7668|8421484
7660|8421485
7736|8421487
7836|8421488
7838|8421488
7840|8421488
7842|8421488
7950|8421489
8002|8421490
8022|8421492
8036|8421494
8038|8421496

//Astro Shades
8816|8421504 
8818|8421504
8820|8421504
8822|8421504

8942|8421506 //Dual Crescent Blade
8950|8421508 //Sniper Rifle
9006|8421511 //Spirit of Anubis
8432|8421508 //Galactic Destructor - Green
8434|8421508 //Galactic Destructor - Purple
8436|8421508 //Galactic Destructor - Red
8438|8421508 //Galactic Destructor - Blue
8438|8421508 //Galactic Destructor - Blue
9116|8421487 //Red Laser Scimitar
9118|8421487 //Green Laser Scimitar
9120|8421487 //Blue Laser Scimitar
9122|8421487 //Purple Laser Scimitar
9136|8421515 //Dueling Star Fighter - Rebel Raider
9138|8421516 //Dueling Star Fighter - Imperial Enforcer
9138|8421436 //Hammer of Winter
9058|8421512 //Cursed Katana
9236|8421521 //Ancient Shards
